t, tm
9.080112, -0.026961
9.090113, -0.026810
9.100113, -0.026654
9.110113, -0.026495
9.120113, -0.026333
9.130114, -0.026166
9.140114, -0.025996
9.150114, -0.025823
9.160114, -0.025646
9.170115, -0.025465
9.180115, -0.025281
9.190115, -0.025093
9.200115, -0.024902
9.210115, -0.024707
9.220116, -0.024508
9.230116, -0.024307
9.240116, -0.024101
9.250116, -0.023892
9.260117, -0.023680
9.270117, -0.023464
9.280117, -0.023245
9.290117, -0.023023
9.300117, -0.022797
9.310118, -0.022568
9.320118, -0.022335
9.330118, -0.022099
9.340118, -0.021860
9.350119, -0.021618
9.360119, -0.021372
9.370119, -0.021123
9.380119, -0.020871
9.390120, -0.020616
9.400120, -0.020358
9.410120, -0.020096
9.420120, -0.019832
9.430120, -0.019564
9.440121, -0.019293
9.450121, -0.019020
9.460121, -0.018743
9.470121, -0.018464
9.480122, -0.018181
9.490122, -0.017896
9.500122, -0.017608
9.510122, -0.017317
9.520123, -0.017023
9.530123, -0.016727
9.540123, -0.016428
9.550123, -0.016126
9.560123, -0.015822
9.570124, -0.015515
9.580124, -0.015205
9.590124, -0.014893
9.600124, -0.014578
9.610125, -0.014261
9.620125, -0.013942
9.630125, -0.013620
9.640125, -0.013296
9.650126, -0.012969
9.660126, -0.012641
9.670126, -0.012310
9.680126, -0.011977
9.690126, -0.011642
9.700127, -0.011304
9.710127, -0.010965
9.720127, -0.010624
9.730127, -0.010281
9.740128, -0.009936
9.750128, -0.009589
9.760128, -0.009240
9.770128, -0.008890
9.780128, -0.008538
9.790129, -0.008184
9.800129, -0.007829
9.810129, -0.007472
9.820129, -0.007114
9.830130, -0.006754
9.840130, -0.006393
9.850130, -0.006030
9.860130, -0.005666
9.870131, -0.005301
9.880131, -0.004935
9.890131, -0.004567
9.900131, -0.004199
9.910131, -0.003829
9.920132, -0.003459
9.930132, -0.003087
9.940132, -0.002715
9.950132, -0.002342
9.960133, -0.001968
9.970133, -0.001594
9.980133, -0.001219
9.990133, -0.000843
10.000134, -0.000467
10.010134, -0.000091
10.020134, 0.000286
10.030134, 0.000664
10.040134, 0.001041
10.050135, 0.001419
10.060135, 0.001797
10.070135, 0.002175
10.080135, 0.002553
10.090136, 0.002931
10.100136, 0.003309
10.110136, 0.003687
10.120136, 0.004065
10.130136, 0.004442
10.140137, 0.004819
10.150137, 0.005195
10.160137, 0.005572
10.170137, 0.005947
10.180138, 0.006322
10.190138, 0.006696
10.200138, 0.007070
10.210138, 0.007443
10.220139, 0.007814
10.230139, 0.008185
10.240139, 0.008555
10.250139, 0.008924
10.260139, 0.009292
10.270140, 0.009659
10.280140, 0.010024
10.290140, 0.010388
10.300140, 0.010751
10.310141, 0.011112
10.320141, 0.011472
10.330141, 0.011830
10.340141, 0.012187
10.350142, 0.012542
10.360142, 0.012895
10.370142, 0.013246
10.380142, 0.013595
10.390142, 0.013942
10.400143, 0.014288
10.410143, 0.014631
10.420143, 0.014972
10.430143, 0.015311
10.440144, 0.015647
10.450144, 0.015981
10.460144, 0.016313
10.470144, 0.016642
10.480145, 0.016969
10.490145, 0.017293
10.500145, 0.017614
10.510145, 0.017933
10.520145, 0.018249
10.530146, 0.018562
10.540146, 0.018871
10.550146, 0.019178
10.560146, 0.019482
10.570147, 0.019783
10.580147, 0.020080
10.590147, 0.020375
10.600147, 0.020666
10.610147, 0.020953
10.620148, 0.021237
10.630148, 0.021518
10.640148, 0.021795
10.650148, 0.022068
10.660149, 0.022338
10.670149, 0.022604
10.680149, 0.022866
10.690149, 0.023125
10.700150, 0.023379
10.710150, 0.023630
10.720150, 0.023876
10.730150, 0.024118
10.740150, 0.024356
10.750151, 0.024590
10.760151, 0.024820
10.770151, 0.025045
10.780151, 0.025266
10.790152, 0.025483
10.800152, 0.025695
10.810152, 0.025903
10.820152, 0.026106
10.830153, 0.026304
10.840153, 0.026498
10.850153, 0.026687
10.860153, 0.026871
10.870153, 0.027050
10.880154, 0.027225
10.890154, 0.027394
10.900154, 0.027559
10.910154, 0.027719
10.920155, 0.027873
10.930155, 0.028023
10.940155, 0.028167
10.950155, 0.028306
10.960155, 0.028440
10.970156, 0.028569
10.980156, 0.028692
10.990156, 0.028810
11.000156, 0.028923
11.010157, 0.029030
11.020157, 0.029132
11.030157, 0.029228
11.040157, 0.029319
11.050158, 0.029404
11.060158, 0.029484
11.070158, 0.029558
11.080158, 0.029627
11.090158, 0.029689
11.100159, 0.029746
11.110159, 0.029798
11.120159, 0.029843
11.130159, 0.029883
11.140160, 0.029917
11.150160, 0.029945
11.160160, 0.029968
11.170160, 0.029984
11.180161, 0.029995
11.190161, 0.030000
11.200161, 0.029999
11.210161, 0.029991
11.220161, 0.029978
11.230162, 0.029959
11.240162, 0.029934
11.250162, 0.029903
11.260162, 0.029867
11.270163, 0.029824
11.280163, 0.029775
11.290163, 0.029720
11.300163, 0.029659
11.310163, 0.029592
11.320164, 0.029519
11.330164, 0.029440
11.340164, 0.029354
11.350164, 0.029263
11.360165, 0.029166
11.370165, 0.029063
11.380165, 0.028954
11.390165, 0.028839
11.400166, 0.028718
11.410166, 0.028591
11.420166, 0.028457
11.430166, 0.028318
11.440166, 0.028173
11.450167, 0.028022
11.460167, 0.027866
11.470167, 0.027703
11.480167, 0.027534
11.490168, 0.027360
11.500168, 0.027179
11.510168, 0.026993
11.520168, 0.026801
11.530169, 0.026603
11.540169, 0.026400
11.550169, 0.026191
11.560169, 0.025976
11.570169, 0.025755
11.580170, 0.025529
11.590170, 0.025297
11.600170, 0.025060
11.610170, 0.024817
11.620171, 0.024569
11.630171, 0.024315
11.640171, 0.024056
11.650171, 0.023791
11.660172, 0.023521
11.670172, 0.023246
11.680172, 0.022966
11.690172, 0.022680
11.700172, 0.022390
11.710173, 0.022094
11.720173, 0.021793
11.730173, 0.021488
11.740173, 0.021177
11.750174, 0.020861
11.760174, 0.020541
11.770174, 0.020216
11.780174, 0.019886
11.790174, 0.019552
11.800175, 0.019213
11.810175, 0.018870
11.820175, 0.018522
11.830175, 0.018169
11.840176, 0.017813
11.850176, 0.017452
11.860176, 0.017087
11.870176, 0.016718
11.880177, 0.016345
11.890177, 0.015968
11.900177, 0.015587
11.910177, 0.015202
11.920177, 0.014814
11.930178, 0.014422
11.940178, 0.014026
11.950178, 0.013627
11.960178, 0.013225
11.970179, 0.012819
11.980179, 0.012410
11.990179, 0.011998
12.000179, 0.011582
12.010180, 0.011164
12.020180, 0.010743
12.030180, 0.010319
12.040180, 0.009892
12.050180, 0.009463
12.060181, 0.009031
